order_id,order_date,sku_id,quantity,customer_region,payment_type
ORD-1001,2024-11-10 00:05:00,TS-BLK-M,1,Bangalore,COD
ORD-1002,2024-11-10 00:10:00,TS-WHT-M,1,Bangalore,COD
ORD-1003,2024-11-10 00:15:00,TS-BLK-M,2,Delhi NCR,COD
ORD-1004,2024-11-10 00:20:00,TS-WHT-M,1,Bangalore,Prepaid
ORD-1005,2024-11-10 00:25:00,TS-WHT-M,2,Delhi NCR,COD
ORD-1006,2024-11-10 00:30:00,HD-BLK-M,1,Delhi NCR,Prepaid
ORD-1007,2024-11-10 00:35:00,HD-GRY-L,2,Delhi NCR,COD
ORD-1008,2024-11-10 00:40:00,HD-GRY-L,1,Delhi NCR,COD
ORD-1009,2024-11-10 00:45:00,HD-GRY-L,2,Bangalore,COD
ORD-1010,2024-11-10 00:50:00,TS-BLK-S,2,Bangalore,COD
ORD-1011,2024-11-10 00:55:00,JK-DNM-M,1,Bangalore,COD
ORD-1012,2024-11-10 01:00:00,HD-GRY-L,1,Bangalore,COD
ORD-1013,2024-11-10 01:05:00,TS-WHT-M,2,Delhi NCR,Prepaid
ORD-1014,2024-11-10 01:10:00,TS-BLK-M,2,Mumbai,COD
ORD-1015,2024-11-10 01:15:00,HD-GRY-L,1,Mumbai,COD
ORD-1016,2024-11-10 01:20:00,HD-BLK-M,1,Bangalore,Prepaid
ORD-1017,2024-11-10 01:25:00,TS-WHT-M,1,Mumbai,COD
ORD-1018,2024-11-10 01:30:00,TS-WHT-M,2,Delhi NCR,COD
ORD-1019,2024-11-10 01:35:00,TS-BLK-S,2,Mumbai,COD
ORD-1020,2024-11-10 01:40:00,TS-WHT-M,2,Delhi NCR,Prepaid
ORD-1021,2024-11-10 01:45:00,JK-DNM-M,2,Delhi NCR,COD
ORD-1022,2024-11-10 01:50:00,TS-WHT-M,2,Bangalore,COD
ORD-1023,2024-11-10 01:55:00,JK-DNM-M,2,Delhi NCR,Prepaid
ORD-1024,2024-11-10 02:00:00,TS-BLK-L,2,Delhi NCR,Prepaid
ORD-1025,2024-11-10 02:05:00,TS-BLK-M,1,Bangalore,COD
ORD-1026,2024-11-10 02:10:00,JK-DNM-M,1,Mumbai,COD
ORD-1027,2024-11-10 02:15:00,CP-BLK,2,Bangalore,Prepaid
ORD-1028,2024-11-10 02:20:00,TS-BLK-S,1,Bangalore,Prepaid
ORD-1029,2024-11-10 02:25:00,HD-BLK-M,2,Delhi NCR,COD
ORD-1030,2024-11-10 02:30:00,TS-BLK-L,2,Delhi NCR,Prepaid
ORD-1031,2024-11-10 02:35:00,HD-BLK-M,1,Bangalore,Prepaid
ORD-1032,2024-11-10 02:40:00,HD-BLK-M,1,Delhi NCR,COD
ORD-1033,2024-11-10 02:45:00,TS-BLK-L,1,Bangalore,COD
ORD-1034,2024-11-10 02:50:00,TS-BLK-S,1,Mumbai,Prepaid
ORD-1035,2024-11-10 02:55:00,HD-BLK-M,1,Delhi NCR,COD
ORD-1036,2024-11-10 03:00:00,TS-BLK-M,1,Bangalore,COD
ORD-1037,2024-11-10 03:05:00,TS-BLK-M,1,Delhi NCR,Prepaid
ORD-1038,2024-11-10 03:10:00,TS-BLK-L,2,Bangalore,Prepaid
ORD-1039,2024-11-10 03:15:00,JK-DNM-M,1,Bangalore,Prepaid
ORD-1040,2024-11-10 03:20:00,TS-WHT-M,2,Mumbai,Prepaid
ORD-1041,2024-11-10 03:25:00,HD-GRY-L,2,Bangalore,COD
ORD-1042,2024-11-10 03:30:00,TS-WHT-M,1,Delhi NCR,COD
ORD-1043,2024-11-10 03:35:00,TS-WHT-M,1,Delhi NCR,COD
ORD-1044,2024-11-10 03:40:00,TS-BLK-S,1,Delhi NCR,Prepaid
ORD-1045,2024-11-10 03:45:00,HD-GRY-L,1,Bangalore,COD
ORD-1046,2024-11-10 03:50:00,CP-BLK,1,Bangalore,COD
ORD-1047,2024-11-10 03:55:00,CP-BLK,1,Mumbai,Prepaid
