sku_id,warehouse_id,demand_source,inventory_position,expected_demand_LT,safety_stock,reorder_point,reorder_required,recommended_order_qty,sku_status,decision_reason
SKU0001,WH_east,PRIMARY_SARIMAX,38.0,324.23,21.61,345.84,True,350,READY,Below expected demand during lead time
SKU0001,WH_north,PRIMARY_SARIMAX,0.0,42.66,2.84,45.51,True,50,READY,Below expected demand during lead time
SKU0001,WH_south,PRIMARY_SARIMAX,25.0,213.31,14.21,227.53,True,250,READY,Below expected demand during lead time
SKU0001,WH_west,PRIMARY_SARIMAX,37.0,315.7,21.04,336.74,True,300,READY,Below expected demand during lead time
SKU0002,WH_east,FALLBACK_HISTORY,1.0,44.59,13.38,57.97,True,100,READY,Below expected demand during lead time
SKU0002,WH_north,FALLBACK_HISTORY,22.0,181.68,54.5,236.18,True,250,READY,Below expected demand during lead time
SKU0002,WH_south,FALLBACK_HISTORY,36.0,297.29,89.19,386.48,True,400,READY,Below expected demand during lead time
SKU0002,WH_west,FALLBACK_HISTORY,49.0,404.65,121.39,526.04,True,500,READY,Below expected demand during lead time
SKU0003,WH_east,FALLBACK_HISTORY,36.0,190.51,57.15,247.67,True,400,READY,Below expected demand during lead time
SKU0003,WH_north,FALLBACK_HISTORY,183.0,968.43,290.53,1258.96,True,1200,READY,Below expected demand during lead time
SKU0003,WH_south,FALLBACK_HISTORY,103.0,545.08,163.52,708.6,True,800,READY,Below expected demand during lead time
SKU0003,WH_west,FALLBACK_HISTORY,30.0,158.76,47.63,206.39,True,200,READY,Below expected demand during lead time
SKU0004,WH_east,FALLBACK_HISTORY,1.0,122.19,36.66,158.84,True,200,READY,Below expected demand during lead time
SKU0004,WH_north,FALLBACK_HISTORY,10.0,330.24,99.07,429.31,True,450,READY,Below expected demand during lead time
SKU0004,WH_south,FALLBACK_HISTORY,33.0,1089.78,326.93,1416.71,True,1400,READY,Below expected demand during lead time
SKU0004,WH_west,FALLBACK_HISTORY,30.0,990.71,297.21,1287.92,True,1300,READY,Below expected demand during lead time
SKU0005,WH_east,FALLBACK_HISTORY,145.0,706.24,211.87,918.11,True,800,READY,Below expected demand during lead time
SKU0005,WH_north,FALLBACK_HISTORY,147.0,715.98,214.79,930.78,True,800,READY,Below expected demand during lead time
SKU0005,WH_south,FALLBACK_HISTORY,163.0,793.91,238.17,1032.09,True,1000,READY,Below expected demand during lead time
SKU0005,WH_west,FALLBACK_HISTORY,2.0,111.29,33.39,144.68,True,200,READY,Below expected demand during lead time
