warehouse_id,sku_id,order_week,weekly_demand,ending_stock,reorder_qty
east,SKU0001,2023-40,3,299,0
east,SKU0001,2023-41,4,295,0
east,SKU0001,2023-42,2,293,0
east,SKU0001,2023-43,5,288,0
east,SKU0001,2023-44,12,276,0
east,SKU0001,2023-45,4,272,0
east,SKU0001,2023-46,9,263,0
east,SKU0001,2023-47,11,252,0
east,SKU0001,2023-48,15,237,0
east,SKU0001,2023-49,13,224,0
east,SKU0001,2023-50,26,198,0
east,SKU0001,2023-51,19,179,0
east,SKU0001,2023-52,33,146,0
east,SKU0001,2024-01,12,134,0
east,SKU0001,2024-02,20,114,0
east,SKU0001,2024-03,20,294,200
east,SKU0001,2024-04,41,253,0
east,SKU0001,2024-05,28,225,0
east,SKU0001,2024-06,54,171,0
east,SKU0001,2024-07,48,123,0
east,SKU0001,2024-08,44,579,500
east,SKU0001,2024-09,49,530,0
east,SKU0001,2024-10,42,488,0
east,SKU0001,2024-11,76,412,0
east,SKU0001,2024-12,56,356,0
east,SKU0001,2024-13,66,290,0
east,SKU0001,2024-14,40,250,0
east,SKU0001,2024-15,47,203,0
east,SKU0001,2024-16,67,136,0
east,SKU0001,2024-17,106,530,500
east,SKU0001,2024-18,85,445,0
east,SKU0001,2024-19,75,370,0
east,SKU0001,2024-20,53,317,0
east,SKU0001,2024-21,48,269,0
east,SKU0001,2024-22,40,229,0
east,SKU0001,2024-23,40,189,0
east,SKU0001,2024-24,68,121,0
east,SKU0001,2024-25,35,286,200
east,SKU0001,2024-26,38,248,0
east,SKU0001,2024-27,36,212,0
east,SKU0001,2024-28,35,177,0
east,SKU0001,2024-29,31,146,0
east,SKU0001,2024-30,29,117,0
east,SKU0001,2024-31,36,281,200
east,SKU0001,2024-32,54,227,0
east,SKU0001,2024-33,41,186,0
east,SKU0001,2024-34,56,130,0
east,SKU0001,2024-35,38,592,500
east,SKU0001,2024-36,21,571,0
east,SKU0001,2024-37,23,548,0
east,SKU0001,2024-38,42,506,0
east,SKU0001,2024-39,37,469,0
east,SKU0001,2024-40,59,410,0
east,SKU0001,2024-41,24,386,0
east,SKU0001,2024-42,31,355,0
east,SKU0001,2024-43,47,308,0
east,SKU0001,2024-44,25,283,0
east,SKU0001,2024-45,23,260,0
east,SKU0001,2024-46,55,205,0
east,SKU0001,2024-47,31,174,0
east,SKU0001,2024-48,33,141,0
east,SKU0001,2024-49,37,104,0
east,SKU0001,2024-50,35,369,300
east,SKU0001,2024-51,26,343,0
east,SKU0002,2023-20,2,412,0
east,SKU0002,2023-21,3,409,0
east,SKU0002,2023-22,5,404,0
east,SKU0002,2023-23,6,398,0
east,SKU0002,2023-24,5,393,0
east,SKU0002,2023-25,4,389,0
east,SKU0002,2023-26,4,385,0
east,SKU0002,2023-27,8,377,0
east,SKU0002,2023-28,8,369,0
east,SKU0002,2023-29,6,363,0
east,SKU0002,2023-30,7,356,0
east,SKU0002,2023-31,13,343,0
east,SKU0002,2023-32,7,336,0
east,SKU0002,2023-33,13,323,0
east,SKU0002,2023-34,11,312,0
east,SKU0002,2023-35,7,305,0
east,SKU0002,2023-36,16,289,0
east,SKU0002,2023-37,15,274,0
east,SKU0002,2023-38,10,264,0
east,SKU0002,2023-39,11,253,0
east,SKU0002,2023-40,15,238,0
east,SKU0002,2023-41,15,223,0
east,SKU0002,2023-42,10,213,0
east,SKU0002,2023-43,15,198,0
