sku_id,vendor_id,lead_time_days,MOQ,vendor_reliability
SKU0004,V_004,21,500,0.97
SKU0009,V_009,21,500,0.93
SKU0014,V_014,21,100,0.87
SKU0022,V_022,21,200,0.96
SKU0032,V_032,28,500,0.94
SKU0042,V_042,14,50,0.98
SKU0044,V_044,28,100,0.88
SKU0012,V_012,28,500,0.87
SKU0036,V_036,28,100,0.92
SKU0011,V_011,28,50,0.89
SKU0020,V_020,21,200,0.87
SKU0023,V_023,28,500,0.9
SKU0003,V_003,14,100,0.95
SKU0021,V_021,21,500,0.92
SKU0026,V_026,28,50,0.86
SKU0027,V_027,21,200,0.87
SKU0016,V_016,21,100,0.97
SKU0030,V_030,28,100,0.96
SKU0043,V_043,7,100,0.86
SKU0041,V_041,28,500,0.91
SKU0047,V_047,21,500,0.91
SKU0002,V_002,21,200,0.97
SKU0025,V_025,28,100,0.94
SKU0031,V_031,14,100,0.92
SKU0024,V_024,14,500,0.87
SKU0018,V_018,21,100,0.95
SKU0037,V_037,14,100,0.97
SKU0038,V_038,14,200,0.97
SKU0007,V_007,28,100,0.88
SKU0034,V_034,7,100,0.89
SKU0050,V_050,28,50,0.89
SKU0028,V_028,7,500,0.9
SKU0035,V_035,28,500,0.92
SKU0008,V_008,7,50,0.95
SKU0040,V_040,7,50,0.98
SKU0019,V_019,28,50,0.88
SKU0046,V_046,28,200,0.96
SKU0005,V_005,7,500,0.94
SKU0033,V_033,7,200,0.86
SKU0029,V_029,21,100,0.87
SKU0048,V_048,21,50,0.93
SKU0006,V_006,14,50,0.86
SKU0045,V_045,21,100,0.89
SKU0015,V_015,21,500,0.93
SKU0013,V_013,21,200,0.91
SKU0039,V_039,7,200,0.94
SKU0001,V_001,7,50,0.92
SKU0010,V_010,21,100,0.91
SKU0049,V_049,7,200,0.91
SKU0017,V_017,14,500,0.86
